Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,state_name,county_name
3310,111,5161,514,4947,596,10709,1143,8135,1030, Florida,Okeechobee
143651,17101,227169,86964,191640,71709,328414,111192,157152,42951, Florida,Orange
33131,1900,50614,11452,50971,12229,84953,18452,45618,8473, Florida,Osceola
111258,12390,174466,57555,168510,62616,382974,140912,346044,132257, Florida,Palm Beach
37075,2741,58048,15195,63666,20215,140813,32974,118202,23176, Florida,Pasco
65007,6963,115655,38584,105709,38200,285217,89895,234815,68409, Florida,Pinellas
58103,3437,88420,16966,81054,17442,167441,33662,138341,27781, Florida,Polk
5265,164,8053,777,7553,576,20037,2453,16634,2626, Florida,Putnam
17856,1787,23808,9852,31431,17608,69927,30435,48237,19623, Florida,St. Johns
22992,1698,35461,6626,34798,7790,82652,16964,74360,17752, Florida,St. Lucie
13989,1291,23436,6000,22930,7387,48191,13153,27609,7352, Florida,Santa Rosa
24084,1814,35233,9227,35624,12414,112964,37589,151209,59427, Florida,Sarasota
38825,4077,66756,26657,63217,28095,124867,50003,70111,23907, Florida,Seminole
3743,171,6820,463,7990,1134,26483,6908,70918,27179, Florida,Sumter
3340,249,4714,858,5469,902,11916,1660,9036,1397, Florida,Suwannee
1449,19,3279,204,2831,263,5686,569,4304,308, Florida,Taylor
1163,34,2458,222,2339,203,4131,431,2290,176, Florida,Union
43979,3606,62125,13093,56130,14363,149511,35065,129563,31603, Florida,Volusia
2116,85,4187,754,4890,1103,9551,1496,4715,925, Florida,Wakulla
4301,325,8326,1684,8375,2173,20017,5801,13310,4617, Florida,Walton
2091,3,3546,391,3152,313,6915,912,4268,622, Florida,Washington
1575,46,2136,297,2109,271,4936,413,3107,227, Georgia,Appling
816,20,987,69,1132,118,1964,269,1117,180, Georgia,Atkinson
975,0,1475,80,1492,75,2666,324,1721,290, Georgia,Bacon
227,23,304,13,357,34,845,175,743,68, Georgia,Baker
8436,246,5273,1693,4722,785,11216,2601,6959,1477, Georgia,Baldwin
1403,17,2195,364,2367,441,5317,592,3079,339, Georgia,Banks
6327,283,11625,2540,11180,2531,19369,3075,9745,1711, Georgia,Barrow
9029,377,13793,3103,13577,2865,28512,5015,14363,2108, Georgia,Bartow
1598,58,1708,161,2016,280,4587,471,2850,343, Georgia,Ben Hill
1311,47,2409,212,2434,365,4986,536,3364,397, Georgia,Berrien
15655,943,20801,5768,17693,5146,38201,9253,23236,5206, Georgia,Bibb
2230,30,1317,241,1273,202,3000,654,2261,374, Georgia,Bleckley
1530,151,2165,106,2244,358,5351,328,3008,339, Georgia,Brantley
1070,13,2013,431,1767,309,4341,796,2944,429, Georgia,Brooks
2834,223,4990,1696,6092,2284,8383,2720,3892,1040, Georgia,Bryan
18347,913,10573,2833,8043,2711,15462,3966,8479,1962, Georgia,Bulloch
1914,141,2760,469,2571,316,6013,646,3384,519, Georgia,Burke
2170,0,3760,452,3067,404,6449,826,3707,396, Georgia,Butts
532,0,1003,36,997,68,1752,209,958,116, Georgia,Calhoun
6785,683,8498,1438,5984,1645,12385,3158,6762,1788, Georgia,Camden
906,30,1304,75,1237,193,2766,396,1890,272, Georgia,Candler
15040,573,15782,4296,14553,2886,28146,5558,15650,2885, Georgia,Carroll
5363,311,8073,1510,8704,2215,17697,3853,11485,2254, Georgia,Catoosa
1359,29,1719,184,1683,126,3803,289,1940,207, Georgia,Charlton
32078,4405,47707,16313,35425,12655,68150,21825,43050,14464, Georgia,Chatham
3193,351,2526,719,1117,465,1141,294,338,32, Georgia,Chattahoochee
2120,53,3080,211,3255,272,6477,688,4295,357, Georgia,Chattooga
19668,1608,29715,11501,34711,15424,68595,26755,33259,9887, Georgia,Cherokee
33363,4325,20963,10681,14172,6464,22428,8427,13351,5629, Georgia,Clarke
190,0,311,3,315,42,809,71,762,159, Georgia,Clay
28202,1862,44023,8469,37792,7944,68429,13808,25570,4103, Georgia,Clayton
531,38,724,95,906,40,1762,186,1039,122, Georgia,Clinch
67600,9512,109487,51835,106854,54082,198408,97772,89040,34997, Georgia,Cobb
4245,151,5967,577,5661,896,10716,1575,5873,627, Georgia,Coffee
4087,284,5758,661,5833,802,10960,1387,6937,914, Georgia,Colquitt
12240,929,20869,7449,21135,8313,38160,14731,19884,5889, Georgia,Columbia
1479,60,2039,310,2162,332,4372,553,2729,330, Georgia,Cook
11908,1040,17483,5254,19086,7037,39896,11830,19347,4868, Georgia,Coweta
993,0,1272,86,1479,128,3736,560,2219,142, Georgia,Crawford
2056,44,2565,388,2632,309,5807,907,4137,532, Georgia,Crisp
1996,21,1732,398,1961,306,4350,493,3068,488, Georgia,Dade
2029,200,2823,633,2838,1093,6951,1919,4913,1719, Georgia,Dawson
2414,66,3395,270,3179,428,6903,1037,4267,709, Georgia,Decatur
64786,10571,125500,59632,107499,50768,187185,80384,89507,34276, Georgia,DeKalb
1851,29,2546,248,2831,536,5853,787,3642,552, Georgia,Dodge
1384,31,1313,90,2168,212,3796,544,2642,354, Georgia,Dooly
10521,343,12098,2162,10366,2482,21358,4582,13718,3080, Georgia,Dougherty
13306,1083,18004,5038,19864,6792,38414,11204,16318,3059, Georgia,Douglas
889,0,1068,154,1151,176,2650,415,1957,284, Georgia,Early
310,16,509,49,590,49,1050,128,641,45, Georgia,Echols
4928,301,8310,1811,8467,2223,15753,2994,6903,868, Georgia,Effingham
1604,41,2189,256,2096,279,5204,628,3884,394, Georgia,Elbert
2024,60,3050,325,2760,534,5526,664,3545,415, Georgia,Emanuel
656,16,1598,223,1217,230,2636,392,1756,291, Georgia,Evans
1580,39,2231,302,2416,544,7698,1674,7228,1742, Georgia,Fannin
9818,1226,9789,4451,12646,6646,33953,17674,19884,6504, Georgia,Fayette
9873,602,12354,2411,11744,2857,24658,4982,16060,3287, Georgia,Floyd
16705,2277,22230,11763,36773,23580,62397,33317,26669,10027, Georgia,Forsyth
2281,108,2631,517,2415,441,6071,914,4388,597, Georgia,Franklin
105534,20192,174265,98741,148747,84066,259407,137626,118227,50106, Georgia,Fulton
2174,22,2799,302,3248,643,8916,1958,7335,1656, Georgia,Gilmer
272,24,293,64,382,86,872,58,494,29, Georgia,Glascock
6628,436,10199,2665,9987,2848,22334,6404,16612,5735, Georgia,Glynn
4949,186,7118,1073,7289,962,15505,2357,8247,1206, Georgia,Gordon
1753,45,3094,482,2820,282,6613,978,4406,617, Georgia,Grady
1190,127,1722,218,1661,355,4545,1201,4935,1680, Georgia,Greene
83287,8729,121361,43259,133727,50863,239851,93227,88110,27990, Georgia,Gwinnett
4324,177,5239,939,5446,1067,11354,2495,8245,1356, Georgia,Habersham
18053,1309,25818,5325,25146,5791,49812,12569,28912,8071, Georgia,Hall
741,0,1346,37,922,59,2418,229,1904,242, Georgia,Hancock
2250,82,3771,427,3397,765,8139,1148,4608,598, Georgia,Haralson
2729,181,3442,832,4076,1347,10231,3580,6163,1744, Georgia,Harris
1803,48,3108,371,2944,319,6961,1218,5628,1016, Georgia,Hart
977,51,1300,99,1446,88,3394,355,1953,163, Georgia,Heard
21141,1841,27041,8319,31424,10538,61524,17829,25576,4744, Georgia,Henry
13647,1176,22601,6511,20318,6395,38494,11332,19060,4210, Georgia,Houston
1030,0,963,57,1220,201,2314,412,1741,273, Georgia,Irwin
4769,236,8905,2006,9318,2554,17855,4019,9779,1829, Georgia,Jackson
1031,84,1531,212,1679,160,3993,636,2441,362, Georgia,Jasper
1291,59,1966,145,1940,158,3555,428,2274,271, Georgia,Jeff Davis
1282,22,1872,190,1822,130,4145,452,2806,280, Georgia,Jefferson
978,14,666,40,919,85,2695,171,1567,165, Georgia,Jenkins
855,31,1042,112,1542,100,2629,198,1756,227, Georgia,Johnson
2243,109,3175,761,3606,870,7895,1445,4967,770, Georgia,Jones
2627,19,2117,112,2193,551,4707,944,3127,315, Georgia,Lamar
913,37,1592,293,1421,295,2403,477,1434,63, Georgia,Lanier
3947,75,5707,1056,5753,1098,12104,1887,8175,1111, Georgia,Laurens
2350,98,3739,844,4411,1656,7495,1842,3691,566, Georgia,Lee
8565,340,11948,2165,6745,1247,11427,2164,5382,912, Georgia,Liberty
585,55,750,137,914,138,2274,286,1826,353, Georgia,Lincoln
1705,15,3015,395,2767,582,4240,951,1692,115, Georgia,Long
19573,1674,17542,4197,12876,3602,23988,6429,13703,3012, Georgia,Lowndes
6054,272,3608,786,3366,565,7984,2542,5459,1497, Georgia,Lumpkin
1918,51,2525,304,2298,357,5583,875,3710,443, Georgia,McDuffie
738,7,1654,83,1286,147,4478,928,3639,790, Georgia,McIntosh
1224,6,1996,67,1668,161,3662,359,2201,248, Georgia,Macon
2340,125,3452,483,3701,899,8129,1584,4865,768, Georgia,Madison
559,24,849,211,1009,167,2452,281,1742,153, Georgia,Marion
1717,19,2444,221,2332,190,5848,749,4191,381, Georgia,Meriwether
345,23,757,85,605,83,1495,276,1252,131, Georgia,Miller
1890,20,2933,303,2968,192,5759,607,3579,378, Georgia,Mitchell
2486,322,3002,707,3209,1036,7941,2461,4908,905, Georgia,Monroe
1152,26,1043,233,1041,132,2449,285,1502,316, Georgia,Montgomery
1489,56,1885,241,1802,567,5522,1022,3611,823, Georgia,Morgan
3340,136,5048,534,5073,557,10632,1012,5720,562, Georgia,Murray
20109,1400,31621,8501,24547,6842,45528,11648,25445,5760, Georgia,Muscogee
10282,509,13282,2205,14270,3147,28029,5873,13687,2470, Georgia,Newton
3031,355,3537,1992,5244,3293,10460,5526,5714,2252, Georgia,Oconee
1097,87,1607,291,1914,330,4149,694,2818,475, Georgia,Oglethorpe
13902,906,20558,4719,23346,6654,42810,9237,16679,2803, Georgia,Paulding
3724,143,3321,540,3063,765,7076,1320,4210,1006, Georgia,Peach
2173,80,3404,461,3571,727,9161,2120,6708,1980, Georgia,Pickens
1470,16,2140,258,2409,352,5185,605,3228,413, Georgia,Pierce
1541,28,2258,405,2285,510,5098,903,2837,313, Georgia,Pike
3572,67,5430,405,5076,865,10540,1633,6453,870, Georgia,Polk
952,65,1892,270,1234,154,2994,368,2229,306, Georgia,Pulaski
1578,89,2320,389,2168,400,6098,1435,5101,1442, Georgia,Putnam
80,0,373,30,192,0,620,53,570,41, Georgia,Quitman
1195,98,1709,296,1755,243,4660,991,4571,1539, Georgia,Rabun
512,0,639,56,863,107,1681,164,1503,155, Georgia,Randolph
23163,1496,32986,7913,23332,5122,48296,10135,27400,5098, Georgia,Richmond
8315,856,10265,2613,11312,3278,24886,7064,12577,2587, Georgia,Rockdale
587,8,594,97,674,89,1287,214,837,52, Georgia,Schley
1247,41,1578,235,1682,270,3908,686,2554,306, Georgia,Screven
611,12,930,92,919,161,2247,408,1900,310, Georgia,Seminole
5232,320,8542,1470,7829,1436,16629,2934,11529,2077, Georgia,Spalding
2564,140,3003,471,2510,420,6833,1639,5081,1134, Georgia,Stephens
634,18,1710,159,774,96,1469,172,937,168, Georgia,Stewart
4108,280,3645,770,3236,486,7140,1324,5014,894, Georgia,Sumter
532,4,540,63,687,115,1991,252,1483,140, Georgia,Talbot
135,7,236,40,213,12,380,20,406,28, Georgia,Taliaferro
2295,89,4268,281,3754,586,6338,1032,3520,455, Georgia,Tattnall
800,7,713,118,830,137,2535,299,1581,161, Georgia,Taylor
1292,0,2289,257,2727,170,4232,340,2811,276, Georgia,Telfair
710,16,1068,61,997,90,2291,299,1639,223, Georgia,Terrell
3589,273,5473,1611,5142,1454,11925,2862,7852,1587, Georgia,Thomas
4674,12,5085,774,5228,1121,9618,1924,5859,852, Georgia,Tift
2260,15,3446,291,3245,474,6499,1125,4357,945, Georgia,Toombs
1694,111,882,225,785,131,2821,850,3996,1345, Georgia,Towns
622,17,798,96,784,130,1718,124,1408,233, Georgia,Treutlen
6939,486,9433,1362,8534,1675,17635,3728,10118,1926, Georgia,Troup
446,4,926,60,1174,129,1916,325,1547,136, Georgia,Turner
457,36,1129,50,838,162,2406,327,1802,187, Georgia,Twiggs
1338,122,2129,186,1938,477,6512,1592,7568,1832, Georgia,Union
2199,101,2845,257,3101,576,7264,795,4719,766, Georgia,Upson
5364,93,8241,1401,8515,1914,19151,3060,12639,1695, Georgia,Walker
7674,299,10990,2229,11596,3150,24447,5177,13860,2678, Georgia,Walton
2720,0,4931,763,4314,637,9219,1539,6014,771, Georgia,Ware
296,53,671,23,570,101,1515,253,1143,104, Georgia,Warren
1783,38,2590,356,2461,355,5604,547,3617,504, Georgia,Washington
2397,54,3715,468,3900,533,7754,1082,4657,512, Georgia,Wayne
101,22,268,47,294,35,791,131,523,62, Georgia,Webster
1160,0,1239,169,964,240,2104,257,1117,69, Georgia,Wheeler
2701,131,3022,513,3063,480,8376,1988,6505,1788, Georgia,White
9730,563,14048,2347,13310,1853,25505,3808,14293,2548, Georgia,Whitfield
795,20,1243,104,1367,149,2288,254,1468,268, Georgia,Wilcox
810,23,927,60,1071,59,2680,401,2250,434, Georgia,Wilkes
693,51,928,112,1111,110,2520,289,1688,167, Georgia,Wilkinson
1655,12,2592,83,2142,408,5645,642,3844,429, Georgia,Worth
14541,1075,23840,5689,23380,6882,54185,16685,40272,12400, Hawaii,Hawaii
93501,8749,150727,52145,124587,50819,236414,83740,170369,52063, Hawaii,Honolulu
3,0,5,0,9,0,37,12,11,3, Hawaii,Kalawao
4962,293,8776,2407,8798,2686,19619,5425,13859,4391, Hawaii,Kauai
11444,869,20959,4437,22202,6425,45861,11845,29095,9412, Hawaii,Maui
39197,3938,65774,24800,64053,27885,114294,43247,63734,22672, Idaho,Ada
187,20,361,68,340,71,1299,217,1209,323, Idaho,Adams
8910,671,12889,3382,10689,3754,18871,4637,11817,3331, Idaho,Bannock
440,45,635,134,700,135,1406,208,1235,273, Idaho,Bear Lake
591,47,834,86,947,145,2674,429,2028,327, Idaho,Benewah
4081,162,5290,1294,5512,1410,10446,1821,6295,1323, Idaho,Bingham
1551,161,2343,711,2739,673,6800,2387,3977,1838, Idaho,Blaine
371,0,498,123,721,263,2693,713,1835,461, Idaho,Boise
2637,68,4088,725,4848,1151,12964,3110,10361,2701, Idaho,Bonner
9748,789,15716,4770,14528,5316,24094,7261,14935,4339, Idaho,Bonneville
896,13,1066,101,1281,355,3290,575,2519,585, Idaho,Boundary
74,0,333,32,287,63,756,119,536,95, Idaho,Butte
45,0,98,3,115,24,322,44,197,48, Idaho,Camas
20952,925,28865,4328,27691,5969,48105,9137,29229,5540, Idaho,Canyon
510,1,718,120,885,232,1643,247,1158,238, Idaho,Caribou
2092,67,2823,423,2851,658,5059,984,3260,535, Idaho,Cassia
98,5,128,12,82,5,205,22,135,28, Idaho,Clark
504,30,903,122,942,120,2616,483,2313,486, Idaho,Clearwater
302,6,297,141,415,103,1115,222,1368,313, Idaho,Custer
3268,92,4465,707,2777,650,6042,1082,3480,701, Idaho,Elmore
1140,117,1474,244,1736,365,2878,371,1859,429, Idaho,Franklin
1176,59,1450,329,1645,446,3103,565,2214,485, Idaho,Fremont
1353,138,1736,294,1642,306,4906,861,3678,631, Idaho,Gem
1243,14,1712,387,1702,296,3799,509,2528,480, Idaho,Gooding
1094,1,1520,374,1508,275,4665,972,4407,772, Idaho,Idaho
2453,44,3406,871,3729,1276,6182,1318,3127,595, Idaho,Jefferson
2010,45,3216,473,2909,455,5296,918,2990,476, Idaho,Jerome
12139,596,19975,3865,19149,5139,40791,10642,29082,7812, Idaho,Kootenai
9807,1395,5482,2736,3722,1778,7964,3516,5149,2104, Idaho,Latah
431,5,655,193,773,244,2200,550,2297,370, Idaho,Lemhi
254,14,333,45,359,81,1077,198,947,162, Idaho,Lewis
405,31,680,67,801,76,1185,119,695,83, Idaho,Lincoln
12076,757,6052,2149,2959,1259,4744,1622,2590,918, Idaho,Madison
1855,32,2479,370,2511,445,4676,678,3275,328, Idaho,Minidoka
3663,211,5139,1288,4732,1206,10263,2264,7880,1661, Idaho,Nez Perce
345,35,345,49,488,151,1062,154,841,114, Idaho,Oneida
989,28,1247,139,1335,134,2885,267,2074,365, Idaho,Owyhee
1819,33,2342,244,2792,837,5972,678,4160,632, Idaho,Payette
385,67,850,93,1155,168,1755,287,1203,203, Idaho,Power
856,43,1229,164,1390,180,3766,506,2816,212, Idaho,Shoshone
843,191,1474,598,1913,873,3071,1222,1244,462, Idaho,Teton
7296,167,11903,2321,10553,2424,18787,3932,12788,2469, Idaho,Twin Falls
370,0,1165,316,1211,374,3195,928,2949,970, Idaho,Valley
591,53,986,150,1097,122,2563,402,2475,490, Idaho,Washington
5039,490,8060,2551,7657,2307,17222,4140,13186,2512, Illinois,Adams
306,0,715,92,625,98,1825,257,1332,133, Illinois,Alexander
1687,25,1986,426,2171,519,4553,1008,3031,730, Illinois,Bond
5015,316,5732,1308,6643,1992,14299,3593,8334,1319, Illinois,Boone
623,56,1107,194,1042,159,1754,204,960,127, Illinois,Brown
2443,176,3503,848,3697,756,9219,1969,7163,1286, Illinois,Bureau
331,21,449,96,500,108,1417,216,1124,77, Illinois,Calhoun
998,96,1474,315,1472,338,4119,773,3598,656, Illinois,Carroll
947,21,1563,344,1463,248,3321,427,2156,265, Illinois,Cass
48373,8455,30456,16719,22928,11519,42621,16945,25959,9730, Illinois,Champaign
2510,256,3892,775,4082,892,9327,1417,6374,962, Illinois,Christian
1152,84,1755,505,1772,511,4373,687,3041,469, Illinois,Clark
932,62,1499,328,1508,320,3670,447,2661,303, Illinois,Clay
2942,350,4908,1440,4816,1496,10735,2193,6261,829, Illinois,Clinton
9137,904,6833,2109,5439,1391,12194,3329,8495,1726, Illinois,Coles
465592,80335,849085,425394,701726,301076,1295595,453866,741170,212179, Illinois,Cook
1433,104,2577,553,2421,475,5220,795,3558,528, Illinois,Crawford
740,72,1258,190,1278,334,2985,357,2094,294, Illinois,Cumberland
20447,2269,13967,4763,11667,3868,23080,7411,12682,3814, Illinois,DeKalb
1108,36,1824,527,1936,564,4631,905,2990,429, Illinois,De Witt
1597,128,2447,381,2349,597,4872,932,3445,563, Illinois,Douglas
80893,16283,117689,62200,119999,67974,258607,129547,139388,54224, Illinois,DuPage
1223,95,1895,396,2028,592,4955,632,3777,562, Illinois,Edgar
440,37,651,113,746,161,1769,176,1350,178, Illinois,Edwards
2664,381,4524,1277,3913,1130,9091,2072,5851,833, Illinois,Effingham
1808,59,2696,375,2630,351,5919,517,4058,484, Illinois,Fayette
966,60,1470,365,1545,353,3774,864,2498,401, Illinois,Ford
2797,95,4512,796,4638,966,10539,1759,7819,1082, Illinois,Franklin
2687,184,4251,877,4454,970,9693,1518,7045,1102, Illinois,Fulton
322,23,534,99,617,48,1362,155,1191,100, Illinois,Gallatin
1067,60,1514,157,1560,221,3760,497,2502,320, Illinois,Greene
3987,382,6499,1970,7111,1848,13307,2787,6881,1151, Illinois,Grundy
574,53,861,271,947,255,2223,342,1759,119, Illinois,Hamilton
1239,46,1844,479,1931,451,5077,1032,4102,760, Illinois,Hancock
272,0,365,96,547,50,1103,72,976,104, Illinois,Hardin
475,78,640,170,645,135,2103,336,1688,288, Illinois,Henderson
3676,308,5244,1558,5909,1605,13415,3062,10006,1829, Illinois,Henry
2043,184,2872,492,3119,556,7811,1246,5895,835, Illinois,Iroquois
12289,1655,8151,3081,5869,2131,12425,3777,8597,2966, Illinois,Jackson
651,47,1020,164,1101,260,2769,414,1827,275, Illinois,Jasper
3071,80,4647,824,4655,1018,10096,1792,7074,1116, Illinois,Jefferson
2121,86,2361,616,2417,595,6296,1341,4185,543, Illinois,Jersey
1331,113,1918,519,2245,548,6095,1360,5873,1605, Illinois,Jo Daviess
1022,52,1632,233,1504,345,3457,547,2615,347, Illinois,Johnson
47603,5513,63846,20738,71557,25011,140720,49048,69950,19886, Illinois,Kane
12246,817,13498,3770,13033,3042,28343,5544,18008,2783, Illinois,Kankakee
10478,963,15774,5864,20433,9165,30270,10447,12753,3182, Illinois,Kendall
5345,284,5462,1184,5885,1269,13297,2617,10528,1591, Illinois,Knox
72251,9947,77894,31080,88131,44093,195312,93730,96339,38537, Illinois,Lake
8749,538,13464,2604,12826,2731,30716,5317,20269,3132, Illinois,LaSalle
1283,29,2317,354,2170,351,4364,419,3005,640, Illinois,Lawrence
2599,114,4238,876,4330,961,9899,1811,6511,899, Illinois,Lee
2844,162,4358,743,4186,601,10072,1385,6818,1023, Illinois,Livingston
3023,300,3844,790,3699,767,7606,1406,5224,1096, Illinois,Logan
7032,628,3576,1179,2826,1306,6588,2031,5234,1357, Illinois,McDonough
26182,3219,34215,12686,39059,15071,91790,32834,43124,11117, Illinois,McHenry
30396,2778,22416,10856,20699,10649,39767,17831,21949,7662, Illinois,McLean
9307,643,12473,2977,12140,3184,27595,5937,20493,3960, Illinois,Macon
3493,276,4973,1053,5374,1248,13045,2343,8895,1290, Illinois,Macoupin
21693,2134,35708,10946,32126,10984,72625,18503,44479,9180, Illinois,Madison
2832,163,4492,749,4334,672,10122,1530,7288,1028, Illinois,Marion
880,42,1169,320,1245,306,3329,588,2661,374, Illinois,Marshall
941,55,1403,273,1601,340,3854,597,3005,372, Illinois,Mason
994,30,1471,144,1732,523,3856,467,2962,262, Illinois,Massac
